Year,State,Life Expectancy,Air Quality Index,Binge Drinking,Completed High SchoolPercent,Bachelor's degree or more Percent,Median Income,Health care coverage pct,Physical Activity Percentage,Smoking
2004,Arkansas,75.38134014,40.52150697,12.6,79.2,18.8,"34,984",81.4,70.9,24.8
2004,California,78.79899586,60.12140541,15.4,81.3,31.7,"49,222",82.7,77.7,16.8
2004,Colorado,79.00509219,35.46342402,18.4,88.3,35.5,"50,886",84.3,83.2,18.6
2004,Connecticut,79.2116533,47.20263158,16.4,88.8,34.5,"55,100",90.5,79,18.6
2004,Delaware,76.91811443,58.25560538,18.5,86.5,26.9,"48,049",91,73.5,21.9
2004,District of Columbia,73.25874394,56,17.8,86.4,45.7,"43,451",89,77.5,22
2004,Florida,77.68619904,44.10058933,14.5,85.9,26,"40,535",80.4,72.1,23.9
2004,Georgia,75.76719358,47.57325861,12.9,85.2,27.6,"40,984",83,75.5,22.8
2004,Hawaii,79.83471994,35.12725632,12.5,88,26.6,"56,242",NA,81.7,17.2
2004,Idaho,78.48018658,33.77131583,15.7,87.9,23.8,"44,358",84.2,81.4,19
2004,Illinois,77.53221449,39.60040296,17.6,86.8,27.4,"46,077",85.7,74.3,23.4
2004,Indiana,76.78592214,44.09396135,15.5,87.2,21.1,"42,329",85.1,73.8,26.1
2004,Iowa,79.12123838,38.37879088,19.7,89.8,24.3,"43,391",89.4,77.3,21.7
2004,Kansas,77.88313614,35.97617902,15,89.6,30,"41,066",87,74.1,20.4
2004,Kentucky,75.50147768,43.71898385,8.7,81.8,21,"35,610",85,69.4,30.8
2004,Louisiana,73.97689907,44.87209871,15.1,78.7,22.4,"36,429",77.2,69.5,26.5
2004,Maine,77.88136495,34.66677245,16.1,87.1,24.2,"41,329",87.2,79.4,23.7
2004,Maryland,77.05529862,52.22835666,14.7,87.4,35.2,"57,103",88.2,78.7,20.1
2004,Massachusetts,78.96422478,45.33287821,18.3,86.9,36.7,"52,019",90.7,78.4,19.1
2004,Michigan,77.21874072,42.30894751,17.8,87.9,24.4,"42,256",87.8,78.2,26.1
2004,Minnesota,79.91371506,38.45623501,20.5,92.3,32.5,"56,104",92.1,85,21.1
2004,Mississippi,74.02928863,46.79721754,11.9,83,20.1,"34,755",79.8,69.7,25.6
2004,Missouri,76.54027379,44.54483378,17.2,87.9,28.1,"42,137",86.8,76,27.2
2004,Montana,77.89454425,26.63582806,19.5,91.9,25.5,"33,956",80.8,79.8,20
2004,Nebraska,78.83574025,32.49975037,17.8,91.3,24.8,"43,786",87.3,79.3,21.2
2004,Nevada,75.91536185,38.98862775,18.9,86.3,24.5,"47,204",78.4,75.3,25.2
2004,New Hampshire,78.615817,42.55046257,17.2,90.8,35.4,"56,815",87.9,80.1,21.2
2004,New Jersey,78.40326325,43.95925149,15.3,87.6,34.6,"55,275",85.6,73.1,19.4
2004,New Mexico,77.5448736,34.94100906,14.9,82.9,25.1,"39,562",78,77.1,22
2004,New York,78.66470069,39.12013852,17.4,85.4,30.6,"44,649",85.1,72.9,21.6
2004,North Carolina,76.45122095,46.74371652,9.7,80.9,23.4,"40,238",81.2,75,24.8
2004,North Dakota,78.94838821,30.94399554,21.7,89.5,25.2,"39,220",86.5,76.3,20.5
2004,Ohio,76.82155903,45.15508324,16.3,88.1,24.6,"43,055",87,73.6,25.2
2004,Oklahoma,75.39929745,41.59576869,13.3,85.2,22.9,"39,614",78.5,69.6,25.1
2004,Oregon,78.26006706,34.43461729,15.9,87.4,25.9,"40,994",82.3,81.2,20.9
2004,Pennsylvania,77.27982663,49.9996744,17.2,86.5,25.3,"44,106",88,77.4,25.4
2004,Rhode Island,78.44147261,46.96272494,18,81.1,27.2,"47,935",88.1,76.7,22.4
2004,South Carolina,75.67995935,45.53797056,13.6,83.6,24.9,"38,691",83,76.7,25.5
2004,South Dakota,78.26913712,34.82750583,18.8,87.5,25.5,"41,107",89,78.3,22.7
2004,Tennessee,75.19630661,46.66549953,7.6,82.9,24.3,"38,072",88.2,70.2,25.6
2004,Texas,77.19113657,46.51523998,17.1,78.3,24.5,"41,397",73.2,72.4,22.1
2004,Utah,78.77397275,50.28457362,10.1,91,30.8,"50,871",84.4,82.7,11.9
2004,Vermont,78.94995707,35.031477,16.9,90.8,34.2,"47,329",87.6,81.3,19.5
2004,Virginia,77.54987188,42.51730277,15.3,88.4,33.1,"51,141",85.8,77.9,22
2004,Washington,78.93338256,35.23623524,15.2,89.7,29.9,"49,922",84.9,82.3,19.5
2004,West Virginia,75.03152579,50.6988625,11.3,80.9,15.3,"33,373",81.5,72,27.3
2004,Wisconsin,78.73408391,40.20143407,24.6,88.8,25.6,"45,732",90,81.2,22
2004,Wyoming,77.46041443,32.34330445,18.2,91.9,22.5,"45,397",82.5,78.9,24.6
2005,Alabama,74.52067065,48.14710204,12.4,80.9,19.8,"37,150",83.1,70.4,24.9
2005,Alaska,77.39959886,26.20983125,17.5,91.7,28.6,"55,891",82.9,79.4,24.8
2005,Arizona,77.65216931,54.07037226,16,85.8,28,"45,245",79.1,75.8,18.5
2005,Arkansas,75.40305753,48.64180064,11.9,81.4,17.5,"36,658",80.8,73.5,25.6
2005,California,78.87304253,56.35673345,15.3,80.4,30.6,"51,755",82.8,77.3,14.8
2005,Colorado,78.94321559,37.97619048,17.7,89.3,35.5,"50,449",83.9,81.3,20
2005,Connecticut,79.38432381,51.42778014,15.7,90,36.8,"56,835",91,81.1,18.1
2005,Delaware,76.89124652,63.91713326,18,86.9,25.6,"51,235",92.3,78.2,24.4
2005,District of Columbia,73.64867318,57,17.6,84.1,46.9,"44,993",90.3,77.7,20.9
2005,Florida,77.79587019,44.50402653,13.9,86.8,25.4,"42,990",79.7,76.4,20.2
2005,Georgia,75.98870412,50.30088976,12.7,85.7,27.1,"45,926",83.4,74.2,20
2005,Hawaii,80.0917668,32.15830116,13.3,87.2,30.4,"59,586",92.2,81.7,17.2
2005,Idaho,78.41373396,31.77394921,14.2,89.1,25.9,"44,176",81.1,80.9,17.4
2005,Illinois,77.60908694,46.31355648,17.4,87.2,29.6,"48,398",85.5,75.1,22.2
2005,Indiana,76.66355411,49.55354511,14.8,87.2,22.6,"42,437",84.5,74.7,24.9
2005,Iowa,78.98752906,43.02407261,19.2,89.8,24.5,"46,500",89.3,78.7,20.8
2005,Kansas,77.69642255,41.5634959,13.3,91.4,30.4,"42,027",86.8,76.8,19.8
2005,Kentucky,75.35454749,51.24034641,9.4,78.9,18.9,"36,699",82.4,70.2,27.5
2005,Louisiana,72.73702106,51.48142021,15.1,80.2,19.6,"37,236",77.4,70.2,23.5
2005,Maine,77.68663282,38.37804031,15.8,87.2,24.3,"43,923",87.2,78.5,21
2005,Maryland,77.24629916,54.56810078,14,86.9,36.3,"60,512",89.1,78.2,19.5
2005,Massachusetts,79.28495808,48.75747689,17.7,87.5,36.6,"56,017",89.7,80,18.5
2005,Michigan,77.15810669,50.26710454,17.5,88.6,24.6,"45,933",87.4,77.9,23.3
2005,Minnesota,80.01039179,41.44967765,19.8,92.7,34.2,"54,215",93,84.1,20.7
2005,Mississippi,73.45142627,53.23149294,10.9,79.8,21.8,"32,875",81.5,68.7,24.5
2005,Missouri,76.55513733,52.05830806,16.7,85.5,25,"42,986",87.1,75.2,24.1
2005,Montana,77.80335849,27.9011578,18.1,92.1,25.4,"37,313",78.5,81.1,20.4
2005,Nebraska,78.82913469,35.37676228,17.8,89.8,25.4,"47,923",86.2,78.4,20.3
